character	value	profanities	line	profanityList
Mr. Garrison	31	0	Okay, children, let's take our seats.  We have a new student joining us today who has just moved here from Utah. I want you all to say hi to Gary.	[]
Other	10	0	Hello everybody. It's relly great to meet you all.	[]
Mr. Garrison	31	0	Gary was state champion in wrestling AND in tennis.  He also maintained a 4.0 grade point average at his old school AND has been on two national commercials for toothpaste.	[]
Other	21	0	I'm really excited to live in this town and share all kinds of great experiences with you, my new friends!	[]
Kyle	6	1	Oh, dude, what a little asshole!	['asshole']
Stan	4	0	Yeah, screw that kid!	[]
Mr. Garrison	19	0	All right, Gary, why don't you take that empty seat and we'll get started with the lesson?	[]
Other	5	0	Hey. My name's Gary.	[]
Cartman	7	1	Hi. My name's Eura. Eura Fag.	['fag']
Other	7	0	That's funny. You're cool, man.	[]
Mr. Garrison	15	0	Okay now, who can tell me what year the first astronauts landed on the moon?	[]
Other	7	0	Oh! Oh oh oh! Nineteen sixty nine!	[]
Mr. Garrison	20	1	Very good, Gary. Wow, looks like I don't have a class full of retards anymore, doesn't it, children?	['retards']
Kyle	8	1	Dude, that new kid is such a douche!	['douche']
Cartman	9	0	Yeah. Somebody need sto put him in him place!	[]
Butters	9	0	He's a peckerface, that's what he is!	[]
Cartman	5	1	Go kick his ass, Stan.	['ass']
Clyde	5	1	Yeah, go kick his ass.	['ass']
Stan	6	0	Wull, maybe he won't fight.	[]
Cartman	9	0	Will he bleed? That's all we care about.	[]
Kyle	13	1	Come on, dude, somebody needs to wipe that fuckin' smirk off his face!	['fuckin']
Craig	3	1	Yeah, little bitch!	['bitch']
Stan	9	1	All right, I'm gonna go kick his ass.	['ass']
Cartman	19	0	Yeah! Go Stan! Go Stan!  All right, I've got five bucks on the other kid. Who wants in?	[]
Other	11	0	Oh hey there! You wanna kick the ball around with me?	[]
Stan	9	1	No. I'm... I'm gonna kick your ass.	['ass']
Other	2	0	'Scuse me?	[]
Stan	7	2	I'm gonna kick your ass...  bitch.	['ass', 'bitch']
Other	22	0	How come you wanna fight me? ...Oh, I get it. I'm the new kid.  Yeah, I guess maybe I deserve it.	[]
Stan	1	0	Huh?	[]
Other	27	0	It's really tough being in a totally new place, but I think all you guys are really cool so... I understand if there's initiation rites.	[]
Stan	3	0	Dude, stop it.	[]
Butters	5	0	Let him have it, Stan!	[]
Stan	3	0	Shut up, Butters!	[]
Other	29	0	The other kids are watching. Look, do what you gotta do. I won't fight back. I just hope that maybe afterwards we can... try to be friends someday.	[]
Kyle	4	0	What are they doing?	[]
Cartman	6	0	They're just standing there, talking.	[]
Kyle	2	0	What happened?	[]
Stan	10	0	I'm...  going over to his house for dinenr tonight.	[]
Token	5	0	What?! How did that happen?	[]
Stan	6	0	He's a really nice kid.	[]
Cartman	11	2	You were supposed to kick his ass, not lick his butthole!	['ass', 'butthole']
Kyle	16	0	You're having dinenr with his family? What kind of family has a kid like that?	[]
Other	21	0	Okay, my turn.  Ooo, five!  One two three four five. Uh, awww, lost yor mortgage, pay ten thousand dollars! Oh no!	[]
Other	4	0	Hey, it's Gary!	[]
Other	1	0	Gary!	[]
Other	4	0	Great to see you!	[]
Other	3	0	How are you?	[]
Other	15	0	Hey everybody! This is my new friend Stan. Stan, this is my mom and dad.	[]
Other	2	0	Hi Stan!	[]
Other	7	0	It's so nice to meet you.	[]
Other	6	0	And this is my brother Mark.	[]
Other	1	0	Hi!	[]
Other	3	0	My sister Jenny.	[]
Other	1	0	Hey!	[]
Other	4	0	My little brother Dave.	[]
Other	1	0	Hi!	[]
Other	5	0	And my baby sister Amanda.	[]
Other	2	0	Hello Stan!	[]
Other	13	0	Well, it's great you could join us for Family Home Evening, Stan!	[]
Stan	3	0	What's that?	[]
Other	25	0	That's when we don't allow any TV and just entertain each other with music and stories. Doesn't your family ever do that?	[]
Stan	1	0	No.	[]
Other	15	0	Hey kids! Why don't you grab your instruments and play a song for Stan!	[]
Other	2	0	Oh yeah!	[]
Other	5	0	All right! Let's play!	[]
Other	20	0	Yeah yeah, yeah, I love my family! My family is the best! If we ever have to face a challenge.	[]
Other	2	0	My family!	[]
Other	4	0	can pass the test.	[]
Other	10	0	Oh boy! Who is the best Mom in the world??	[]
Other	4	0	All right! Go Dave!	[]
Other	1	0	Yeah!	[]
Other	1	0	Woohoo!	[]
Other	9	0	Where be your gibes now? Your gambols? Your songs?	[]
Other	6	0	Hey! Hey! Hey! Hey! Hey! Hey!	[]
Other	6	0	That's a great story, Sarah.	[]
Other	16	0	All right, kids, now how about we do some Scripture readings! From the Book of Mormon!	[]
Other	2	0	All right!	[]
Other	1	0	Yeah!	[]
Other	2	0	Woohoo! OOWW!	[]
Stan	7	0	The... Book of Mormon? What's that?	[]
Other	8	0	You know... the book that Joseph Smith found.	[]
Stan	4	0	Who's Joseph Smith?	[]
Other	8	0	Only the most important person in the world.	[]
Other	6	0	You've never heard of him?	[]
Stan	1	0	No!	[]
Other	8	0	Tell us the story of Joseph Smith, Dad.	[]
Other	9	0	Oh yes, tell us Dad. Yeah Dad. All right.	[]
Other	18	0	All right, you rascals. Gather round.  Joseph Smith lived in a little American town in the early 1800s.	[]
Other	21	0	Joseph Smith was called a prophet Dumb dumb dumb dumb dumb He started the Mormon religion Dumb dumb dumb dumb dumb	[]
Other	6	0	There goes that kooky Joseph Smith	[]
Other	10	0	You know, he claims he spoke with God and Jesus.	[]
Other	8	0	Well, how do you know he didn't?	[]
Other	11	0	Dumb dumb dumb dumb dumb Joseph Smith was called a prophet-	[]
Other	19	0	Hey, Joseph! I told my wife that you spoke with God and Jesus, and she didn't believe it.	[]
Other	6	0	Well it's true. I did.	[]
Other	1	0	Where?	[]
Other	54	0	I was out in the woods, praying  I was asking God if I should be a Protestant, or a Catholic, or what? And suddenly God and Jesus appeared before me.  And they said I should start my own church, because none of the others had it right.  And that's exactly how it happened.	[]
Other	6	0	You see? You believe it now?	[]
Other	9	0	Well yeah, sure. Why would he make that up?	[]
Other	27	0	Dumb dumb dumb dumb dumb Many people believed Joseph Dumb dumb dumb dumb dumb And that night he-ee saw an angel Dumb dumb dumb dumb dumb	[]
Other	22	0	And please bless Mother and Father, and please keep our bellies full of yum-yums and luscious goodies.  AAAHH!  Oh my gosh!	[]
Other	8	0	I am Moroni. I am a Native American.	[]
Other	8	0	A...  Native American?  But your skin is white.	[]
Other	25	0	Yes. Long ago all Native American were white. We all came to America from Jerusalem. And while we were here we were visited by Christ.	[]
Other	5	0	Jesus live here in America?	[]
Other	29	0	Yes. Eventually, my people were all killed by the other tribe of Israel, and as punishment, God turned their skin red. These are the Native Americans you know today.	[]
Other	5	0	Dumb dumb dumb dumb dumb	[]
Other	45	0	There is an ancient book buried near here, written on gold plates that account my people's lives. Also buried with the book are two seer stones, the Urim and Thummim, which will allow you to translate the writings. Find it, and fulfill your destiny.	[]
Other	1	0	Wooww...	[]
Other	11	0	Joseph Smith was called a prophet Dumb dumb dumb dumb dumb	[]
Other	10	0	And we all know what happened then, don't we?	[]
Other	3	0	Yeah! I know!	[]
Stan	3	0	What happened then?	[]
Other	7	0	Ooo, the Rice Crispy squares are done!	[]
Other	9	0	Rice Crispy squares! Yay! All right! Rice Crispy squares!	[]
Other	20	0	Hey gang, let's wrap some more of them up in plastic wrap and hand them out to the poor!	[]
Other	5	0	Awesome! I can't wait!	[]
Other	1	0	Yeah!	[]
Other	3	0	You coming, Stan?	[]
Stan	9	0	No, I was supposed to be home at eight.	[]
Other	13	0	Awww, that's too bad. Well, it was really nice meeting you, Stan.	[]
Other	2	0	Bye Stan!	[]
Other	4	0	Great to meet you!	[]
Other	1	0	Bye!	[]
Stan	1	0	...Hello?	[]
Other	3	0	Oh, hi Stan.	[]
Stan	11	0	Hey Dad, how come you never told me about Joseph Smith?	[]
Randy	1	0	Who?	[]
Other	7	1	Shut up, turd! We're watching Friends!	['turd']
Stan	8	0	The guy who spoke to God and Jesus.	[]
Other	11	0	Well, Stan, God and Jesus don't actually speak to people.	[]
Stan	7	0	That's not what the Harrisons said.	[]
Randy	4	0	Who are the Harrisons?	[]
Stan	30	0	The new people that moved in down the street. Mr. Harrison said that Joseph Smith spoke to God and Jesus and they told him none of the religions were right.	[]
Randy	9	0	Oh, did he now?! What are they, religious kooks?!	[]
Stan	33	0	They're not kooks, they're cool. I mean, how come we never have a night where we don't watch any TV and we just... do stuff together and eat and drink?	[]
Randy	10	0	We have that, Stan. It's called Friday Night Kegger.	[]
Stan	8	0	But that's just you and your friends.	[]
Other	5	1	I said shut up, turd!	['turd']
Stan	21	0	Mr. Harrison said that I should be followng Heavenly Father's plan, and I don't even know what that is.	[]
Randy	5	0	All right, that does it!	[]
Other	4	0	Where are you going?	[]
Randy	28	1	I'm gonna go have a talk with this Mr. Harrison.  If he thinks he can fill my son's head with wacko religious crap, he's wrong!	['crap']
Other	5	0	Randy, don't cause trouble.	[]
Randy	38	1	Let me handle this, Sharon. You gotta put these cult people in their place or else they never stop! I'm gonna go kick this Mr. Garrison's ass!  This, Mr. Garrison is, is a white guy, right?	['ass']
Stan	1	0	Yeah.	[]
Randy	8	1	Jyeah, I'm gonna go kick his ass!	['ass']
Randy	23	2	God-damned religious kooks! Tell my son what to believe, will you?! We'll see how you like my fist in your ass!	['damned', 'ass']
Other	1	0	Hello!	[]
Randy	5	0	Yeah, are you Mr. Harrison?	[]
Other	8	0	I sure am.  The, the name's Gary.	[]
Randy	13	0	Well, look, my kid was just over at your house and he a-	[]
Other	19	0	Oh, you're Stan's dad! It's so nice to finally meet you! Karen! Mr. Marsh is here!	[]
Randy	9	0	Uh, look, I just want to tell you that	[]
Other	13	0	Oh, Mr. Marsh! What a treat! It's so nice to meet you!	[]
Randy	3	0	Well, thanks. Uh...	[]
Other	10	0	Karen just finished baking the most amazing Rice Crispy squares.	[]
Other	3	0	With chocolate frosting	[]
Other	13	0	Come on out of the cold. You've gotta try one. Or six.	[]
Other	12	0	I cannot tell you how wonderful it is to have you over.	[]
Other	10	0	I hear you're a geologist. That is so amazing.	[]
Randy	21	0	Look, uh, I actually came over because I'm a little concerned about some of the things you told my son.	[]
Other	2	0	Uh huh?	[]
Randy	6	0	You know. About... God, and stuff.	[]
Other	11	0	Oooh... Oh boy... you think we were trying to convert him.	[]
Randy	2	0	Well, I-	[]
Other	7	0	Oh, Mr. Marsh, I am sooo sorry.	[]
Other	33	0	We just moved here from Utah and we're so used to everyone being Mormon that we... Oh, we forget not everyuone wants to hear about it. Oh boy, you must be furious!	[]
Randy	5	0	Well, no, no, I just-	[]
Other	39	0	You just heard your son talking about religious ideals that aren't your own and you said Who the heck do these people think they are?! I I'm really, truly sorry, Mr. Marsh. It won't happen again.	[]
Randy	6	0	Y-you can call me... Randy.	[]
Other	32	0	Randy, the last thing we want is for people to think we're pushing our religion. We know there are a lot of beliefs out there and ours just works for us.	[]
Other	5	0	To each his own, right?	[]
Randy	41	0	Yeah. Yeah! You know, to be honist, I've never known any Mormons. I, don't even know what you people believe. Who was this Joseph Smith guy? Why did he believe that Native Americans are actually white people from Jerusalem?	[]
Other	21	0	Well, because they found ancient books they had written on gold plates, right where the angel Moroni said they would be.	[]
Other	16	0	I found them! I found them!  You're not gonne believe it, everybody! I found them!	[]
Other	2	0	Found what?	[]
Other	6	0	Another New Testament of Jesus Christ!	[]
Other	8	0	What? What did he say? Are you crazy?	[]
Other	37	0	Last night, a Native America angel told me where I could find another testament of Jesus Christ, so I went out to the woods. I dug around all morning where the angel had told me to look.	[]
Other	14	0	Maybe there isn't anything out here.  Wait a tick!  What's this?  Wow...	[]
Other	21	0	Inside the stone box, I found the magical seer stones. Under that, I found four gold plates written in strange writing .	[]
Other	10	0	This must be the Gospel that Jesus told the Nephites!	[]
Other	12	0	Well, they were the most amazing things I'd ever gazed upon.	[]
Other	5	0	Well, so where are they?	[]
Other	3	0	Where are what?	[]
Other	10	0	The gold plates and the seer stones. Where are they?	[]
Other	60	0	Oh. Oh, well, I... was not allowed to take them. You see, after I found the plates, the angel Moroni appeared to me again and said that I am not allowed to show the plates, or the seer stones, to anybody. Because first I must translate what's written on the plates into English, so you can all read it!	[]
Other	5	0	Dumb dumb dumb dumb dumb	[]
Other	2	0	Wow, amazing!	[]
Other	24	0	He found the stones and golden plates Dumb dumb dumb dumb dumb Even though nobody else ever saw them Dumb dumb dumb dumb dumb	[]
Stan	13	1	So, how'd it go, Clubber Lange? You kicked Mr. Harrison's ass?	['ass']
Randy	13	0	Not exactly. We're uh, having their family over for dinner tomorrow night.	[]
Stan	7	0	See? That's what happened to me!	[]
Randy	19	0	Sharon, did you know this guy Joseph Smith found a new testament to the Bible buried here in America?	[]
Other	5	0	What are you talking about?	[]
Randy	31	0	Well it's just that... the Harrisons are really nice people and... you should see how loving and together their family is. I, I think there's something to that religion.	[]
Stan	8	0	That's what they made me think, too!	[]
Randy	12	0	All right, that does it. From now on, our family is Mormon!	[]
Cartman	12	0	Hey Stan, how was your date last night with the new kid?	[]
Stan	16	0	Shut up, dude. They're a nice family and... Gary is actually really smart and talented.	[]
Cartman	9	0	Aww, you guys. I think Stan's in love.	[]
Kyle	8	0	Yeah. Did you make out with him, too?	[]
Stan	18	0	What's the big deal? Can't I have other friends? You guys should give Gary a chance.	[]
Other	2	0	Hey Stan.	[]
Cartman	8	0	Ohhh, here's Stan's little girlfriend now.	[]
Other	35	0	Hey guys. Stan, I remember you said last night that you'd lost your wallet, so I made you a new one.  I carved a picture of John Elway into the leather on the front.	[]
Stan	4	0	Wow, you made this?	[]
Cartman	10	0	Awww, look at them. Aren't they so cute together?	[]
Other	19	0	Hey! My family's on their way over to the fire station to donate blood. You wanna come along?	[]
Stan	11	0	Un, I don't think so, Gary. I have to uh...	[]
Other	6	0	Oh here comes my family now!	[]
Other	3	0	Hey you guys!	[]
Other	5	0	Look, we painted our faces!	[]
Other	4	0	I'm a lion.	[]
Other	4	0	I'm an alien.	[]
