character	value	profanities	line	profanityList
Butters	10	0	Hello sir. Postman Butters with a special delivery for you.	[]
Cashier	3	0	What's this?	[]
Butters	13	0	An all-new sushi restaurant just opened in town. Try their lunch specials.	[]
Cashier	1	0	Thanks.	[]
Butters	27	0	You can count on Postman Butters!  Special delivery, ma'am.  Here you are, sir.  Brand new sushi restaurant in town.  A flyer for you, from Postman Butters!	[]
Tuong Lu Kim	10	1	Welcome to Shitty Wok. Can I take a order prease?	['shitty']
Butters	11	0	Hello, sir. Postman Butters here with a special delivery for you.	[]
Tuong Lu Kim	4	0	Wha you talking 'bout?	[]
Butters	16	0	It's a coupon for a brand-new Asian restaurant that just opened up in town.	[]
Tuong Lu Kim	34	0	A what? Ret me see that!  Oh no, a sushi prace? How come every time a hard-working Chinese man open a business, some shmelly Japanese dog has to come and try invade him?!	[]
Butters	14	0	Uhhhh I don't know, I'm just bein' paid to hand out flyers.	[]
Tuong Lu Kim	13	1	Where is this Japanese-uh toiret bowl?! How far from my Shitty Wok?!	['shitty']
Butters	13	0	Wuh you mean the sha-sushi restaurant? Ih-it's right over there.	[]
Tuong Lu Kim	5	0	What?! Whaaat?!  What the fuuuck?!	[]
Mr. Takiyama	10	0	Welcome to City Sushi. Can I take er order prease?	[]
Tuong Lu Kim	15	2	What's the big idea putting your Shitty Sushi right next to my Shitty Wok?!	['shitty', 'shitty']
Mr. Takiyama	15	1	I'm sorry I do not understand your accent. You want a Shitty tuna roll?	['shitty']
Tuong Lu Kim	23	3	No I don't want Shitty tuna roll! I want you to go find another shitty town to open your Shitty Sushi prace!	['shitty', 'shitty', 'shitty']
Mr. Takiyama	13	0	Why don't you please ujust speak Engrish? Maybe I can understand you!	[]
Tuong Lu Kim	16	2	I am speaking Engrish! Why don't you speak a fucking Engrish, you soba eating fuck!	['fucking', 'fuck']
Mr. Takiyama	6	0	Get out or I call porice!	[]
Tuong Lu Kim	16	1	Come on, kid, you don't wanna eat this-a Shitty Sushi! It give you worms.	['shitty']
Mr. Takiyama	9	1	Better than Shitty Kung Pao Chicken made from cat!	['shitty']
Steven	1	0	Hello?	[]
Sgt. Yates	7	0	Sir, does this mailman belong to you?	[]
Stephen	9	0	That's my son. Is there a problem, officer?	[]
Sgt. Yates	16	0	There's been an Asian turf war, sir, and your son appears to have caused it.	[]
Stephen	9	0	What?! An Asian turf war- Butters! You are grounded!	[]
Butters	9	0	But sir, i was just handing out coupons for-	[]
Stephen	6	0	Don't talk back to me!	[]
Sgt. Yates	21	0	We'll send a bill for the damages,  but in the meantime, please keep a closer eye on your child, sir?	[]
Stephen	6	0	Go up to your room, now!	[]
Linda	4	0	What's going on?	[]
Stephen	6	0	Butters started an Asian turf war!	[]
Linda	12	0	Oh, for the love of Pete! What is wrong with that boy?	[]
Stephen	31	0	I don't know, but it's clear it isn't our parenting! We're awesome! He must have mental problems. I think we'd batter have him checked out, Linda.	[]
Stephen	3	0	Well Dr. Janus?	[]
Dr. Janus	16	0	I'm afraid I have some bad news. Your son is suffering from Multiple Personality Disorder.	[]
Linda	1	0	What?	[]
Dr. Janus	31	0	There are several distinct personalities going on in there. One is named Postman Butters and yet another is Fireman Butters. And then there's even Inspector Butters and uh, Professor Chaos.	[]
Linda	3	0	Oh my God!	[]
Dr. Janus	40	0	From what I gather, he seems to mostly jump in and out of personalities when he's outside playing. Sometimes he's a cowboy and other times he's an Indian, and the two seem to be at constant odds.	[]
Linda	3	0	Oh, poor Butters!	[]
Stephen	9	0	Doctor, what can we do? Should we ground him?	[]
Dr. Janus	27	0	No, I don't think grounding him would do much good at this point.  What your son needs now is lots of tender loving... medication. Heavy medication.	[]
Field Reporter	35	0	Tom, a brand new sushi place has opened in South Park, adding to our booming Asian district. With the addition of the new Chinese restaurant, townspeople are officially naming this whole Chinatown area Little Tokyo.	[]
Tuong Lu Kim	7	0	What the fuuuck?!  You see what happen?!	[]
Mr. Takiyama	8	0	I told you not to come in here!	[]
Tuong Lu Kim	15	1	Now everyone in town think a Chinese and a Japanese are the same fucking thing!	['fucking']
Mr. Takiyama	14	1	I don't even know what the fuck you are saying! Uhpupuh putuh peepee!	['fuck']
Tuong Lu Kim	4	0	Aaah you Japanese racist!	[]
Linda	8	0	Stephen! Stephen, come quick! It's butters!  Look!	[]
Butters	24	0	Honk honk! Breaker 1-9, breaker 1-9. It's clean clear out to Flagtown! Looks like we got ourselves a convoy! Honk honk!	[]
Linda	8	0	Now he thinks he's a truck driver.	[]
Stephen	7	0	Oh God the medication isn't working!	[]
Butters	21	0	It's okay, buddy, you've got a smokey on your tail, bug Big Rig Butters is here to help! Vroovrooom.	[]
Stephen	3	0	Butters! Butters!!  BUTTERRRRS!	[]
Butters	3	0	Oh hey Dad.	[]
Stephen	13	0	You're back. You're back-he's back!  I love you son!	[]
Butters	5	0	I love you too, Dad.	[]
Stephen	16	0	You're going to be okay Butters! You hear me?! YOU ARE GOING TO BE OKAY!	[]
Mr. Takiyama	11	0	Youuu, get out! I told you not to come in here!	[]
Tuong Lu Kim	13	0	Okay, whoa, just hold a minute, hold a minute. I come ina peace.	[]
Mr. Takiyama	5	0	I don't berieve you!	[]
Tuong Lu Kim	32	0	Come on, rook! All this fighting, it's just to sirry, you know? Chinese anda Japanese been fighting for so rong. It'sa ridicurous. What we need... is to have a tweaty.	[]
Mr. Takiyama	3	0	What is tweaty?	[]
Tuong Lu Kim	5	0	Nono, we need a tweaty.	[]
Mr. Takiyama	2	0	A tweaty?	[]
Tuong Lu Kim	6	0	No, not a treaty, a tweaty!	[]
Mr. Takiyama	5	0	Oh, you mean a treaty?	[]
Tuong Lu Kim	6	1	What the fuck is a tweaty?	['fuck']
Mr. Takiyama	4	0	No no, a treaty.	[]
Tuong Lu Kim	58	0	A tweaty?  Rook rook. All these racist people thinka that a Chinese and a Japanese are the same, right? So you and me, we put on a big assembry for all the kids are school, and then everyone understand curtural difference. You know, so they know fried rice isn't from Japan and teriyaki isn't from China.	[]
Customer	5	0	Teriyaki isn't from China?	[]
Tuong Lu Kim	7	1	No, teriyaki isn't froma fucking China!	['fucking']
Mr. Takiyama	8	0	Very well. I will do assembly with you.	[]
Tuong Lu Kim	32	0	Oh really? Oh great.  Okay, I'll meet you tomorrow and we can go over our prans.  And when you get to that assembry, you gonna get big surprise, you Japanese dog.	[]
Dr. Janus	18	0	Butters, when you were playing in the yard yesterday, do you remember becoming someone named... Big Rig Butters?	[]
Butters	1	0	Sure.	[]
Dr. Janus	22	0	What makes Big Rig Butters come out? Did somebody hurt him? Did he do something bad he can't forgive himself for?	[]
