character	value	profanities	line	profanityList
Kyle	37	0	...And in conclusion, the Latino community has provided America, and indeed, the entire world with innovations that we would be lost without. And that is my presentation on the role of Hispanics in American technology. Thank you.	[]
Principal Victoria	5	0	Okay, thank you, Kyle Broflovski.	[]
Mr. Mackey	22	0	That was very good, Kyle. I think the Latino Endowment Council was very happy with your presentation. Looks like you might win.	[]
Kyle	1	0	Cool.	[]
Principal Victoria	27	0	All right, students, members of the school board. Our last speaker will discuss the important role of Latinos in the arts. Here is... Eric Cartman.  Eric Cartman?	[]
Cartman	31	0	Thank you. The Latino culture has been very influential on the arts in America. But you don't have to ask me. You can ask my special guest. Miss Jennifer Lopez.	[]
Kids	2	0	Jennifer Lopez?	[]
Kyle	2	0	No way.	[]
Cartman	6	0	Miss Lopez, come on out here.	[]
Principal Victoria	3	0	Oh, Jesus Christ.	[]
Cartman	12	0	Ms. Lopez, would you like to talk about Latinos and the arts?	[]
Cartman	5	0	Oh, you mean this one?	[]
Cartman	4	0	There we go, Saright?	[]
Cartman	6	0	That's a very pretty dress.	[]
Cartman	5	0	Nonono, you're Jennifer Lopez	[]
Cartman	2	0	Nono, Jeh-	[]
Cartman	1	0	Jeh-	[]
Cartman	1	0	Jeh	[]
Cartman	2	0	Jennifer Lopez	[]
A Council Member	3	0	Hahahahaha, oh my.	[]
Cartman	11	0	Ms. Lopez, could you show everyone your example of Latino arts?	[]
Cartman	12	0	And that is my presentation on Latinos in the arts. Thank you.	[]
Cartman	22	1	Oh-hoh man! A twenty-dollar gift certificate at the mall! I can buy whatever I want! Cultural Diversity Day kicks ass!	['ass']
Kyle	13	0	It isn't fair. I spent weeks preparing my speech on Latino culture.	[]
Cartman	7	0	Hey, I spent weeks preparing too, Kyle.	[]
Kyle	22	1	No you didn't, asshole! What you did was totally stupid and racist! And you only did it to screw me over!	['asshole']
Cartman	10	0	Awww, I don't think Kyle likes you, Ms. Lopez.	[]
Cartman	6	0	Ms. Lopez, do you like Kyle?	[]
Cartman	10	0	Ms. Lopez, would you like to give Kyle a kiss?	[]
Cartman	2	0	Is nice?	[]
Kyle	2	0	Stop it!	[]
Cartman	19	0	Hey, come one guys! We can use part of my gift certificate to buy food at the food court.	[]
Kenny	1	0	(Woohoo!)	[]
Kyle	8	0	Stop wasting the tacos on your hand, Cartman!	[]
Cartman	7	0	Hey, Ms. Lopez has to eat, too.	[]
