character	value	profanities	line	profanityList
Stan	8	0	Is this what you're looking for, Kyle?	[]
Kyle	6	0	No, I don't think so.	[]
Kenny	3	0	(How about this?)	[]
Kyle	6	0	No, that's a hair dryer!	[]
Manager	6	0	May I help you find something?	[]
Kyle	6	0	Yeah. Do you have any nurections?	[]
Manager	2	0	Any what?	[]
Kyle	9	0	I need to get a nurection for my dad.	[]
Manager	7	0	Very funny, boys. Go on, beat it.	[]
Stan	4	0	Why is that funny?	[]
Kyle	41	2	Dude, my mom and dad keep fighting all the time. And both of them say it's because my dad doesn't have a nurection. So I want to get him one.  Damn it! What the hell is wrong with everybody?	['damn', 'hell']
Stan	20	0	That's the fifth store we've been kicked out of. Why is it so hard to get a nurection?	[]
Kenny	5	0	(You guys, take it seriously.)	[]
Kyle	13	0	I just want a nurection so I can give it to my mom.	[]
Man	1	0	What?	[]
Kenny	13	0	(Well, see you guys. I gotta go take the bus out of town.)	[]
Cartman	14	0	Oh, where are you gonna go, Kenny? You gonna see your little girlfriend again?	[]
Kenny	4	0	(Yeah, you guys. Seriously.)	[]
Cartman	14	0	Dude, you spend way too much time with that girl. If you don't-	[]
Kenny	1	0	(Ach)	[]
Stan	6	0	Oh my God, they killed Kenny!	[]
Kyle	2	1	You bastards!	['bastards']
Cartman	6	1	What the hell happened to him?	['hell']
Stan	3	0	He just... ignited.	[]
Man	2	0	What happened?	[]
Woman	12	0	I saw it from across the street. He just caught on fire.	[]
Officer Barbrady	12	0	Okay people, stand back. Give the little burnt boy some breathing room.	[]
Blond Man	20	1	I've heard about this. This is... spontaneous combustion. But it usually only happens to fat people near open flames.	['fat']
Man 2	3	0	Is it contagious?	[]
Woman	6	0	Am I going to spontaneously combust?	[]
Man 3	8	0	I hope it doesn't happen to me.	[]
Woman	4	0	This is very scary.	[]
Mayor McDaniels	37	1	The people are panicking about spontaneous combustion. That's why I've assembled this crack team of scientists to find out the cause of the phenomenon. You are the best scientific mind South Park has to offer.	['crack']
Randy	6	0	...Uuuh. Mayor, I'm a geologist.	[]
Mayor McDaniels	1	0	Right.	[]
Randy	12	0	Well, uh I don't study human biology, I study the earth.	[]
Mayor McDaniels	35	0	Look, you're the only scientist that lives in this town. You have to find an answer before more people combust. You do that, and you'll be the most beloved man in South Park.	[]
Crowd	4	0	Randy! Randy! Randy! Randy!	[]
Man	4	0	We love you, Randy.	[]
Woman	6	0	Make love to me, Randy. Please!	[]
Randy	1	0	Wow.	[]
Mayor McDaniels	18	0	Marsh, I'm not asking you, I'm telling you! Find the cause of spontaneous combustion, or else!	[]
Randy	3	0	Or else what?	[]
Mayor McDaniels	1	0	Exactly!	[]
Stan	11	0	Dude, he looks so peaceful without his little orange coat on.	[]
Kyle	1	0	Yeah.	[]
Priest Maxi	57	0	The Lord giveth and the Lord taketh away. Sometimes the giveth seems a little disproportionate to the taketh. There seems to be a lot more takething going on, but there it is. Perhaps if more of you attended church on Sundays , the Lord would not have felt it necessary to punish us by takething this little boy...	[]
Mr. Garrison	7	0	Oh, here comes the guilt trip again.	[]
Priest Maxi	44	0	Now, let us pray.  Lord, though we have lost Neil Smith to free agency and Steve Atwater to the Jets, still, we hope our beloved Broncos can bring home another Super Bowl championship, and once again bathe in the glory of your light. Amen.	[]
All	1	0	Amen.	[]
Priest Maxi	3	0	Let's go	[]
All	3	0	Let's go	[]
Priest Maxi	1	0	Broncos	[]
All	1	0	Broncos	[]
Priest Maxi	4	0	Let's go Broncos	[]
All	4	0	Broncos, let's go!	[]
Stan	4	0	Wow, that was short.	[]
Priest Maxi	9	0	Boys, I haven't seen you in church lately.	[]
Kyle	4	1	Well, I'm Jewish.	['jewish']
Priest Maxi	10	1	You're not too Jewish to worship Jesus, are you?	['jewish']
Kyle	3	0	I guess not.	[]
Priest Maxi	16	0	Good. Boys, how would you like to perform the Stations of the Cross this Friday night?	[]
Stan	2	0	The what?	[]
Priest Maxi	16	0	It's like a skit, where you reenact the death and glorious resurrection of Jesus Christ.	[]
Kyle	8	0	Hey, resurrection! That's what my dad needs!	[]
Priest Maxi	1	0	Huh?	[]
Kyle	8	0	We'll do it! We'll do it!	[]
Priest Maxi	16	0	Wonderful. Here's a book on how to perform it. Don't let me down, boys.	[]
Kyle	14	0	Dude, this is great! You know all the Stations of the Cross, right, Stan?	[]
Stan	15	0	I don't know, dude. I'm gonna have to go look in the Bible.	[]
Tom	3	0	Good night, Jerry.	[]
Jerry	5	0	See ya, Tom. Bye, Helen.	[]
Helen	3	0	Bye, Jer- aaa!	[]
Jerry	5	0	Oh my God, another one.	[]
Tom	2	0	Helen, no!	[]
Jerry	2	0	What happened?	[]
Man 5	15	0	God must be very angry with us. But why?  How have we angered you, Lord?	[]
Randy	13	0	Well, let's see. If they combust... no. Could be from the... no.	[]
Stan	5	0	Dad, where's our Bible?	[]
Randy	14	0	Not now, Stan. I have to find out what causes spontaneous combustion. Or else.	[]
Stan	3	0	Or else what?	[]
Randy	1	0	Exactly.	[]
Stan	1	0	...What?	[]
Randy	1	0	Right.	[]
Stan	4	0	Where's our Bible?	[]
Randy	35	0	It's in the attic with the old LP's.  Boys, did you notice anything uuuh strange about Kenny in the weeks leading up to his combustion? Ooh, what did he spend his time doing?	[]
Kyle	12	0	He didn't do anything. He was always with his new girlfriend.	[]
Randy	2	0	New girlfriend?	[]
