character	value	profanities	line	profanityList
Stan	6	0	Dude, I wonder where Kyle is.	[]
Cartman	12	0	Maybe he caught a disease and died. That'd be so awesome.	[]
Stan	11	0	Dude that's not funny. You shouldn't joke about that.	[]
Kenny	1	0	(Yeah.)	[]
Cartman	3	0	Who's joking?	[]
Kyle	8	0	You guys! You guys! I have awesome news!	[]
Cartman	3	0	You have AIDS?	[]
Kyle	25	0	No. This Saturday, for my birthday, my Mom says she's takin' me to Casa Bonita, in Denver, and I get to invite three friends!.	[]
Cartman	3	0	Wow! Casa Bonita?!	[]
Kenny	2	0	(Woo-hoo!)	[]
Stan	4	0	What's Casa Bonita?	[]
Cartman	29	0	Dude, haven't you ever been there?! It's a big Mexican restaurant where they have, like, cliff jumpers and Black Bart's Cave and  all kinds of stuff!	[]
Kyle	8	0	It's like the Disneyland of Mexican restaurants.	[]
Cartman	16	0	This Saturday! Awesome!  Casa Bonita! Casa Bonita! Food and fun in a festive atmosphere.  Casa Bonita!	[]
Kyle	6	0	Who said I'm inviting you?	[]
Cartman	9	0	You... your Mom said you could take three friends.	[]
Kyle	8	0	Yes. Three friends. You're not my friend.	[]
Cartman	19	1	Wuh ih uh... Weh come on, Kyle, who the hell else are you gonna take besides Stan and Kenny?	['hell']
Kyle	19	0	I'm gonna take Butters. He invited me to his birthday party last month, so I owe him one.	[]
Cartman	9	1	Butters?! You're gonna take THAT butt hole?! Why?!	['butt']
Kyle	9	1	Because Butters isn't a total dick to me!	['dick']
Cartman	8	1	I have never been a dick to you.	['dick']
Kyle	17	1	Oh please! All you ever do is call me names and rip on me for being Jewish!	['jewish']
Cartman	12	1	Kyle, when have I ever ripped on you for being a Jew?	['jew']
Kyle	51	18	Oh yeah?! Well you're a stupid Jew! You're a Jew! Shut your God-damned Jew mouth! Good job, Jew! Jew... Shut up, Jew! You're Jewish!! Dude, he's Jewish! Jew! Jew! Jew! Jew! Jew! Jew! Jew?! I told you Jewish people don't have rhythm. Fuck off, Cartman!	['jew', 'jew', 'damned', 'jew', 'jew', 'jew', 'jew', 'jewish', 'jewish', 'jew', 'jew', 'jew', 'jew', 'jew', 'jew', 'jew', 'jewish', 'fuck']
Cartman	7	0	Okay, except maybe for that one time.	[]
Kyle	15	1	You've always been a dick to me, Cartman, and I'm not inviting you.	['dick']
Cartman	30	0	Kyle, you don't understand! Casa Bonita is my most favorite place  in the whole world. I'll just, I'll just die if you don't take me! Please!	[]
Kyle	6	0	Sorry, my mind's made up.	[]
Cartman	90	5	Well fuck you, Kyle!! I don't wanna go to your faggy birthday party anyway! I'd much rather hang out at home than have to be around you and your Jew mom for a day!  Kiss my balls, asshole!!!  Dude, I totally didn't mean that, Kyle.  I really really wanna go to Casa Bonita. I'm sorry we had that fight just now. You know, I mean, I said some things, you said some things, but, I think it was good and we-we've moved past it.	['fuck', 'faggy', 'jew', 'balls', 'asshole']
Kyle	8	0	I'm not inviting you to Casa Bonita.	[]
Cartman	13	2	Well fuck you, Kyle!! I hope you die! I hope you fucking die!!	['fuck', 'fucking']
Cartman	22	0	Casa Bonita! Come on, you guys!  Oh, awesome!!  Come on, you guys! Black Bart's Cave!  Wow, cliff divers!  More sopapillas, please!	[]
Kyle	10	0	I'm not inviting you, Cartman. You can't go.	[]
Cartman	27	1	No! Noooo!  Casa Bonita! Noooo!  AAAAH!!  Oh... God-damnit, I have to get invited to go! I'm just gonna have to start being nice to Kyle!	['damnit']
Cartman	2	0	Hi Kyle.	[]
Kyle	5	0	That isn't it, Cartman.	[]
Cartman	4	0	What isn't it?	[]
Kyle	13	0	That's not being nice! That's just putting on a nice sweater!	[]
Cartman	6	0	...I don't understand the difference.	[]
Kyle	5	0	I know you don't.	[]
Cartman	13	0	Jimmy! Hey Jimmy, wait up!  Dude, uh I need your help on something.	[]
Jimmy	14	0	Well, sure, Eric. W-w-what seems to be the p-p-p-prrroblem?	[]
Cartman	31	0	Well, everybody likes you, Jimmy, a-and you seem to be really good with people, so, I was wondering if you could tell me, how do you act nice to people?	[]
Jimmy	19	0	Well, the best thing is not to act nice, Eric. Uh, the best thing is to be genuinely nice.	[]
Cartman	10	0	Okay, so how do you act genuinely nice to people?	[]
Jimmy	35	0	Well, Eric, pah part of being nice is just making people smile and laugh. The best way to do that is by telling a fan-tastic joke or a humorous anti-d- ant'duhh ...anecdote.	[]
Cartman	2	0	Like what?	[]
Jimmy	10	0	Well, like, try this one on for size: Knock knock.	[]
Cartman	3	0	Who's there?	[]
Jimmy	9	0	Ing-mar ...Bergman.  Now you say, Ingmar Bergman who?	[]
Cartman	46	1	Take that, Jimmy!  And that! And don't you ever talk bad about Kyle again!  Kyle is my friend! And if you say you had sex with his mom one more time, I'm gonna really let you have it! You hear me?!  Oh, Kyle. Hey.	['sex']
Kyle	13	0	Do you really think that beating up a handicapped kid is being nice?	[]
Cartman	9	0	Uh...  He-hey Kyle! Knock knock.  Knock knock, Kyle!	[]
Kyle	5	0	Yeah, Casa Bonita, this Saturday!	[]
