character	value	profanities	line	profanityList
Kyle	4	0	Throw it away, Clyde!	[]
Clyde	10	0	I'm not gonna touch it. You throw it away.	[]
Stan	4	0	What's going on?	[]
Kyle	22	1	Some high schoolers left their marijuana cigarette behind. Uh we have to throw it away before some kids find it or something.	['marijuana']
Stan	4	0	So throw it away.	[]
Clyde	5	0	Nobody wants to touch it.	[]
Kyle	18	1	What if the residue gets on our hands and it leads to harder drugs like those commercials say.	['drugs']
Craig	20	0	Yeah, didn't you see that commercial where it says that if you have pot you could become a terrorist?	[]
Clyde	17	0	And the commercial where the two kids have pot and the one kids shoots the other. Harmless?	[]
Stan	7	0	You guys, those commercials are just exaggerations.	[]
Token	13	1	How do you know? None of us had ever had any drugs before.	['drugs']
Jimmy	19	1	Well, I did Ecstasy once.  Me and my girlfriend took it and we stayed up all night having... sex.	['sex']
Kyle	7	1	...Where did you have sex with her?	['sex']
Jimmy	12	1	In her... va-vagina.  Thank you, thank you. What a terrific audience.	['vagina']
Stan	16	0	It's just a stupid plant that makes you dumb. Touching it won't hurt you.	[]
Cartman	6	1	Then you throw it away, smartass.	['smartass']
Stan	31	2	Fine, I will.  There, see? I touched marijuana. I'm not a terrorist, I didn't shoot anybody, and I don't feel like doing more drugs now. No big deal.	['marijuana', 'drugs']
Ozzy	8	0	You kids  don't  around with your  mom!	[]
Jack	11	0	Dad, we ing can't! It's a big ick a	[]
Sharon	10	0	Stan, what did I tell you about watching The Osbournes?	[]
Stan	4	0	Aw, come on, Mom.	[]
Sharon	7	1	It's going to make you retarded!	['retarded']
Stan	18	2	It's just a show! It doesn't have any fucking effect on me, for fuck's sake!	['fucking', 'fuck']
Grandpa Marvin	8	0	Oh goody. Now we can watch the news.	[]
Tom	59	0	In other news, South Park police are still looking for a craaazy man who terrorized the town one hour ago.  The man claimed to be from the future and ran naked through the city streets screaming The past! The past! Oh my God, it's the past! Which is what one would expect someone in the future to yell.	[]
Naked Man	13	0	Oh my God, it's the past!  Oh, whoa man, it's you!	[]
Sharon	3	0	Who are you?	[]
Naked Man	7	0	It's me, Mom, your son Stan.	[]
Randy	4	0	Who is it, Sharon?	[]
